IATA,ICAO,Airline,Call sign,Country/Region,Comments
,ADV,Advanced Flight Training,ADVANCED,United Kingdom,
,ADW,ADC Airways,,Lebanon,defunct
2Y,ADW,Air Andaman,AIR ANDAMAN,Thailand,defunct 2004
,ADX,Anderson Aviation,ANDAX,United States,
3L,ADY,Air Arabia Abu Dhabi,Nawras,United Arab Emirates,
,ADZ,Avio Delta,,Bulgaria,
AE,AE,Air Ceylon,CEYLON,Sri Lanka,defunct
UX,AEA,Air Europa,EUROPA,Spain,
EM*,AEB,Aero Benin,AEROBEN,Benin,defunct
,AEC,Aerocésar,AEROCESAR,Colombia,defunct; aka Aerovías del César
,AED,Aernord,Aernspa,Italy,defunct
,AED,Aie Experience Flight,AIE EXPERIENCE,United Kingdom,defunct
,AED,Aerotrans Airlines,,Russia,defunct
A3,AEE,Aegean Airlines,AEGEAN,Greece,
,AEF,Aerea,,Spain,
,AEG,Aerofumigaciones Sam,FUMIGACIONES SAM,Chile,defunct
,AEH,Aero4m,AEROCUTTER,Slovenia,
RX,AEH,Aviaexpress,AVEX,Hungary,defunct
,AEI,Air Poland,POLISH BIRD,Poland,defunct
,AEI,Aeroexpreso Interamericano,INTERAM,Colombia,defunct
,AEJ,Air Express,KHAKI EXPRESS,Tanzania,
ML,AEK,Aero Costa Rica,ACORISA,Costa Rica,defunct
,AEK,Aerocon,AEROCON,Bolivia,
PE,AEL,Air Europe Italy,AIR EUROPE,Italy,defunct
,AEM,Aero Madrid,AEROMADRID,Spain,
3S*,AEN,Aeroland Airways,AEROLAND,Greece,"defunct, ICAO code no longer allocated"
KD,AEN,Air Enterprise,AIR ENTERPRISE,France,defunct
,AEO,Aeroservicios Ejecutivos Del Occidente,AERO OCCIDENTE,Mexico,
,AEP,Aerotec Escuela de Pilotos,AEROTEC,Spain,
,AEQ,Air Express,LUNA,Sweden,
KO,AER,Alaska Central Express,ACE AIR,United States,
VX,AES,ACES Colombia,ACES,Colombia,defunct
,AES,Aerosur Paraguay,AEROPARAGUAY,Paraguay,
,AET,Aero-Palma,AERO PALMA,Spain,defunct
5W,AEU,Astraeus,FLYSTAR,United Kingdom,"defunct, ICAO code no longer allocated"
,AEV,Aeroventas,AEROVENTAS,Mexico,
VV,AEW,Aerosvit Airlines,AEROSVIT,Ukraine,defunct
,AEX,Airway Express,AVCO,United States,ICAO code no longer allocated
IG,AEY,Air Italy,AIR ITALY,Italy,merged into Meridiana
,AEZ,Aerial Transit,AERIAL TRANZ,United States,
,AFA,Alfa Air,BLUE ALFA,Czech Republic,
WK,AFB,American Falcon,AMERICAN FALCON,Argentina,defunct
,AFC,African West Air,AFRICAN WEST,Senegal,
,AFD,Panorama Flight Service,AIRFED,United States,
,AFE,Airfast Indonesia,AIRFAST,Indonesia,
VJ,AFF,Africa Airways,AFRIWAYS,Benin,defunct
FG,AFG,Ariana Afghan Airlines,ARIANA,Afghanistan,
,AFH,Air Fecteau,FECTO,Canada,defunct
RV*,AFI,Africaone,AFRICAWORLD,The Gambia,
Y2,AFJ,Alliance Air,JAMBO,Uganda,Ceased operations 08/10/2000
,AFK,Africa Air Links,AFRICA LINKS,Sierra Leone,
SU,AFL,Aeroflot,AEROFLOT,Russia,
,AFM,AEROSPEED FORMATION ET MAINTENANCE,EPIC AIR,France,
,AFN,African International Airlines,SIMBA,Lesotho,
,AFO,Aero Empresa Mexicana,AERO EMPRESA,Mexico,
,AFP,Portuguese Air Force,PORTUGUESE AIR FORCE,Portugal,
,AFQ,Alba Servizi Aerotrasporti,ALBA,Italy,
AF,AFR,Air France,AIRFRANS,France,
,AFS,Air Data,,United Kingdom,
Q9,AFU,Afrinat International Airlines,AFRINAT,Gambia,"defunct, ICAO code no longer allocated"
,AFV,Air Afrique Vacancies,AFRIQUE VACANCE,Côte d'Ivoire,
,AFW,Afrique Regional Airways,AFRAIR,Côte d'Ivoire,defunct
AW,AFW,Africa World Airlines,BLACKSTAR,Ghana,
5Z,AFX,Airfreight Express,,United Kingdom,Ceased operations 08/03/2002
,AFY,Africa Chartered Services,AFRICA CHARTERED,Nigeria,
,AFZ,Africa Freight Services,AFREIGHT,Zambia,
,AGA,AG Air,GEOLINE,Georgia,
,AGA,Aeronaves Del Centro,,Venezuela,
G8,AGB,Air Service Gabon,,Gabon,defunct
,AGC,Arab Agricultural Aviation Company,AGRICO,Egypt,
,AGE,Servicios Aéreos de Los Ángeles,AEROANGEL,Mexico,
,AGF,Atlantic Gulf Airlines,ATLANTIC GULF,United States,defunct
,AGG,Algoma Airways,ALGOMA,Canada,ICAO code no longer allocated
,AGH,Altagna,ALTAGNA,France,
,AGI,Aereo Transportes Los Angeles de America,ANGELES AMERICA,Mexico,
,AGM,Aviation West Charters,ANGEL MED,United States,2015
,AGM,Air Guam,AIR GUAM,United States,
GN,AGN,Air Gabon,GOLF NOVEMBER,Gabon,defunct
,AGO,Angola Air Charter,ANGOLA CHARTER,Angola,
,AGP,AERFI Group,AIR TARA,Ireland,
,AGQ,Aerogala,GALASERVICE,Chile,defunct
,AGR,United States Department Of Agriculture,AGRICULTURE,United States,
1A,AGT,Amadeus IT Group,AMADEUS,Spain,
,AGU,Angara Airlines,SARMA,Russia,
7T,AGV,Air Glaciers,AIR GLACIERS,Switzerland,
,AGW,Aero Gambia,AERO GAMBIA,Gambia,"defunct, ICAO code no longer allocated"
JJ,AGX,Aviogenex,GENEX,Serbia,defunct
,AGY,Aero Flight Service,FLIGHT GROUP,United States,
,AGZ,Agrolet-Mci,AGROLET,Slovakia,
GD,AHA,Air Alpha Greenland,AIR ALPHA,Denmark,sold to Air Greenland
,AHC,Azal Avia Cargo,AZALAVIACARGO,Azerbaijan,Cargo Airline of the State Concern Azerbaijan Hava
,AHD,Czech Air Handling,AIRHANDLING,Czech Republic,
,AHE,"Airport Helicopter Basel, Muller & Co.",AIRPORT HELICOPTER,Switzerland,
,AHF,Aspen Helicopters,ASPEN,United States,
,AHG,Aerochago Airlines,AEROCHAGO,Dominican Republic,defunct
,AHH,Airplanes Holdings,AIRHOLD,Ireland,
,AHI,Servicios Aéreos de Chihuahua Aerochisa,AEROCHISA,Mexico,
LD,AHK,Air Hong Kong,AIR HONG KONG,Hong Kong,
,AHL,Aerolíneas Hidalgo,HIDALGO,Mexico,
,AHM,Garrison Aviation,AIR HURON,Canada,
,AHN,Air Hungaria,AIR HUNGARIA,Hungary,
,AHO,Air Hamburg,AIR HAMBURG,Germany,
,AHP,Aerochiapas,AEROCHIAPAS,Mexico,
,AHR,Air Adriatic,ADRIATIC,Croatia,defunct
,AHS,AHS Air International,HIGH SKY,Pakistan,
,AHS,Air Viggi San Raffaele,AIRSAR,Italy,
,AHT,HTA Helicopteros,HELIAPRA,Portugal,
,AHU,ABC Air Hungary,ABC HUNGARY,Hungary,defunct
HT,AHW,Aeromist-Kharkiv,AEROMIST,Ukraine,defunct
J2,AHY,Azerbaijan Airlines,AZAL,Azerbaijan,
U3,AIA,Avies,AVIES,Estonia,
4Y,AIB,Airbus Industrie,AIRBUS INDUSTRIE,France,
AI,AIC,Air India Limited,AIRINDIA,India,
,AID,Christian Konig - Century Airbirds,CENTURY AIRBIRD,Austria,
,AIE,Air Inuit,AIR INUIT,Canada,
,AIF,Compañía Aérea de Valencia,,Spain,
,AIG,Air Inter Gabon,,Gabon,
KJ,AIH,Air Incheon,AIR INCHEON,South Korea,
,AII,Air Integra,INTEGRA,Canada,
4O,AIJ,Interjet,ABC AEROLINEAS,Mexico,Defunct
4O,AIJ,Interjet,ABC AEROLINEAS,Mexico,
,AIK,African Airlines International Limited,AFRICAN AIRLINES,Kenya,
,AIL,Air Illinois,AIR ILLINOIS,United States,defunct
QM,AIM,Air Malawi,MALAWI,Malawi,defunct
,AIM,Trabajos Aéreos  Murcianos,PIJO,Spain,
,AIN,African International Airways,FLY CARGO,Eswatini,
,AIO,"Chief of Staff, United States Air Force",AIR CHIEF,United States,
,AIO,United States Air Force,AIR CHIEF,United States,Chief of Staff
5A,AIP,Alpine Air Express,ALPINE AIR,United States,
FD,AIQ,Thai  AirAsia,THAI ASIA,Thailand,
,AIR,Airlift International,AIRLIFT,United States,defunct
,AIS,Air Sureste,SURESTE,Spain,
,AIT,Airest,AIREST CARGO,Estonia,
,AIU,Alicante Internacional Airlines,ALIA,Spain,
,AIV,Airvias S/A Linhas Aéreas,AIRVIAS,Brazil,
,AIW,Atlantic Island Airways,TARTAN,Canada,
,AIX,Aircruising Australia,CRUISER,Australia,
,AIY,Aircrew Check and Training Australia,AIRCREW,Australia,
IZ,AIZ,Arkia Israel Airlines,ARKIA,Israel,
,AJA,Afghan Jet International Airlines,AFGHAN JET,Afghanistan,
,AJB,Aero JBR,AERO JBR,Mexico,
QO,AJC,Bar Harbor Airlines,BAR HARBOR,United States,
,AJE,Aero Jet Express,JET EXPRESS,Mexico,defunct
,AJF,Avia Consult Flugbetriebs,AVIACONSULT,Austria,
,AJH,Aeroaljarafe,ALJARAFE,Spain,
,AJI,Ameristar Jet Charter,AMERISTAR,United States,
,AJJ,A2 Jet Leasing,ATLANTIC JET,United States,
,AJK,Allied Air,BAMBI,Nigeria,
JM,AJM,Air Jamaica,JAMAICA,Jamaica,merged into Caribbean Airlines; ICAO and IATA codes no longer used.
,AJO,Aero Ejecutivo,AEROEXO,Mexico,defunct
,AJP,Aero Jets Corporativos,AEROJETS,Mexico,
,AJR,A-Jet Aviation Company,JET MONGOLIA,Mongolia,
,AJS,Aeroejecutivos Colombia,AEROEJECUTIVOS,Colombia,Aeroejecutivos Aeroservicios Ejecutivos
M6,AJT,Amerijet International,AMERIJET,United States,
,AJU,Air Jetsul,AIRJETSUL,Portugal,
,AJV,ANA & JP Express,AYJAY CARGO,Japan,merged into Air Japan
,AJW,Alpha Jet International,ALPHAJET,United States,
NQ,AJX,Air Japan,AIR JAPAN,Japan,
,AJY,AJet,AYJET,Cyprus,"defunct, ICAO code no longer allocated"
,AKA,Air Korea Co. Ltd.,,Republic of Korea,
,AKB,Aktjubavia,KARAB,Kazakhstan,
,AKC,Arca Aerovías Colombianas Ltda.,ARCA,Colombia,
,AKF,Anikay Air Company,ANIKAY,Kyrgyzstan,
,AKG,No. 84 Squadron RAF,GRIFTER,United Kingdom,
,AKH,Akhal,AKHAL,Turkmenistan,
,AKI,Ibk-Petra,,Sudan,
QP,AKJ,Akasa Air,AKASA AIR,India,
,AKK,Aklak Air,AKLAK,Canada,
4A,AKL,Air Kiribati,KIRIBATI,Kiribati,
,AKM,Mak Air,MAKAIR,Kazakhstan,
,AKN,Alkan Air,ALKAN AIR,Canada,
,AKR,Aero Clinker,AERO CLINKER,Mexico,
7F,AKT,Canadian North,ARCTIC,Canada,Air Norterra
V2,AKT,Karat,AVIAKARAT,Russia,
,AKW,Angkor Airways,ANGKORWAYS,Cambodia,defunct
EH,AKX,Air Nippon Network Co. Ltd.,ALFA WING,Japan,merged into ANA Wings
,AKY,Yak-Service,YAK-SERVICE,Russia,
,AKZ,AK Navigator LLC,ABSOLUTE,Kazakhstan,ICAO code no longer allocated
,ALB,Aero Albatros,ALBATROS,Mexico,
,ALC,"Southern Jersey Airways, Inc.",ACOM,United States,
,ALD,Albion Aviation,ALBION,United Kingdom,
,ALE,Aeroalas Colombia,AEROALAS,Colombia,defunct
,ALF,Allied Command Europe (Mobile Force),ACEFORCE,Belgium,
,ALG,Air Logistics,AIRLOG,United States,
,ALJ,Heli Ambulance Team,ALPIN HELI,Austria,
UL,ALK,SriLankan Airlines,SRILANKAN,Sri Lanka,
,ALL,Aerovallarta,VALLARTA,Mexico,
,ALM,Air ALM,ANTILLEAN,Netherlands Antilles,defunct
,ALN,"Alpha Jet, S.R.O.",TOLEMAC,Slovakia,2014
,ALN,Air Lincoln,CHICAGO LINCOLN,United States,
,ALO,Allegheny Commuter Airlines,ALLEGHENY,United States,US Airways Express
,ALP,Allpoints Jet,ALLPOINTS,China,
,ALP,Alpliner AG,ALPINER,Switzerland,Code now allocated to another user
,ALQ,Altair Aviation (1986),ALTAIR,Canada,
,ALR,Líneas Aéreas Alaire S.L.,AEROLAIRE,Spain,
,ALS,Aeralp,AERALP,France,
,ALT,Aerolíneas Centrales,AERLINEAS CENTRALES,Mexico,
,ALU,Air Luxor STP,LUXORJET,São Tomé and Príncipe,
VH,ALV,Aeropostal Alas de Venezuela,AEROPOSTAL,Venezuela,
,ALW,"Alas Nacionales, S.A.",ALNACIONAL,Dominican Republic,
,ALX,ALPI Jets,ALPIJETS,Austria,
EO,ALX,Hewa Bora Airways,ALLCONGO,Democratic Republic of the Congo,
,ALY,Alyeska Air Service,ALYESKA,United States,
,ALZ,Alta Flights (Charters) Ltd.,,Canada,
,AMA,ATMA,ADIK,Kazakhstan,
1I,AMB,Deutsche Rettungsflugwacht,CIVIL AIR AMBULANCE,Germany,
KM,AMC,Air Malta,AIR MALTA,Malta,
,AMD,Aerolíneas Medellín,AEROLINEAS MEDELLIN,Colombia,defunct
,AME,Spanish Air Force,AIRMIL,Spain,
,AMF,Ameriflight,AMFLIGHT,United States,
,AMG,Air Minas Linhas Aéreas,AIR MINAS,Brazil,defunct
,AMH,Alan Mann Helicopters Ltd.,MANN,United Kingdom,ICAO code no longer allocated
L6,AMI,Air Maldives,AIR MALDIVES,Maldives,defunct
,AMJ,Aviation Amos,AVIATION AMOS,Canada,
,AMK,Amerer Air,AMER AIR,Austria,
,AMM,Aeroputul International Marculesti,AEROM,Moldova,
DP,AMM,Air 2000,JETSET,United Kingdom,defunct
,AMO,Air Montreal (Air Holdings Inc.),AIR MONTREAL,Canada,
,AMP,Aero Transporte S.A. (ATSA),ATSA,Peru,
,AMQ,Aeromedicare Ltd.,LIFELINE,United Kingdom,No longer current
,AMQ,Aircraft Management and Consulting,AMEX,Poland,
,AMR,Air Specialties Corporation,AIR AM,United States,"Air American, Total Air"
,AMS,Air Muskoka,AIR MUSKOKA,Canada,
TZ,AMT,ATA Airlines,AMTRAN,United States,defunct
NX,AMU,Air Macau,AIR MACAO,Macao,
YJ,AMV,AMC Airlines,AMC AIRLINES,Egypt,Aircraft Maintenance Company
6A,AMW,Armenia Airways,ARMENIA,Armenia,
AM,AMX,Aeroméxico,AEROMEXICO,Mexico,
,AMY,Air Ambar,AIR AMBAR,Dominican Republic,
,AMZ,Amiya Airline,AMIYA AIR,Nigeria,
NH,ANA,All Nippon Airways,ALL NIPPON,Japan,
,ANB,Air Navigation And Trading Co. Ltd.,AIR NAV,United Kingdom,Former ICAO code:  AAT
,ANC,Anglo Cargo,ANGLO,United Kingdom,"Defunct, ICAO code no longer allocated"
,AND,National Jet Service,AIR INDIANA,United States,
FP,AND,Servicios Aéreos de los Andes,SERVI ANDES,Peru,2014
YW,ANE,Air Nostrum,AIR NOSTRUM,Spain,
PX,ANG,Air Niugini,NIUGINI,Papua New Guinea,
,ANH,Alajnihah for Air Transport,ALAJNIHAH,Libya,
,ANI,Air Atlantic (Nig) Limited,NIGALANTIC,Nigeria,
EL,ANK,Air Nippon,ANK AIR,Japan,"merged into All Nippon Airways, ICAO code no longer allocated"
,ANL,Nacoia Lda,AIR NACOIA,Angola,
,ANM,Aerotransportacion de Norteamerica,NORAM,Mexico,
,ANM,"Antares Airtransport, Maintenance & Service GmbH",ANTARES,Germany,ICAO Code now allocated to another user
TL,ANO,Airnorth,TOPEND,Australia,
,ANQ,Aerolínea de Antioquia,ANTIOQUIA,Colombia,
OY,ANS,Andes Líneas Aéreas,AEROANDES,Argentina,
4N,ANT,Air North Charter - Canada,AIR NORTH,Canada,
,ANV,Air Nevada,AIR NEVADA,United States,
,ANW,"Aviación Del Noroeste, S.A. de C.V.",AVINOR,Mexico,defunct
,ANX,Secretaria de Marina,SECRETARIA DEMARINA,Mexico,
NZ,ANZ,Air New Zealand,NEW ZEALAND,New Zealand,"""NZ"" used by New Zealand National Airways Corporation until its merger with Air New Zealand in 1978
""TE"" used by TEAL from 1940-1965, then Air New Zealand from 1965-1990"
,AOA,"Alcon Servicios Aéreos, S.A. de C.V.",ALCON,Mexico,
,AOB,Aerocaribe Coro,CARIBE CORO,Venezuela,
J6,AOC,AVCOM,AERO AVCOM,Russia,
,AOD,Aero Vodochody,AERO CZECH,Czech Republic,
,AOE,Air One Executive,,Italy,
,AOE,Livingstone Executive,LIVINGSTONE AIR,Italy,
,AOF,Atair Pty Ltd.,ATAIR,South Africa,
2D,AOG,Aero VIP,AVIP,Argentina,defunct
,AOI,"Astoria, Inc.",ASTORIA,Canada,defunct
,AOJ,Avcon Jet,ASTERIX,Austria,
,AOK,Aeroatlantico Colombia,,Colombia,defunct
,AOL,Angkor Airlines,ANGKOR AIR,Cambodia,defunct
IW,AOM,AOM French Airlines,French Lines,France,defunct
,AON,Aero Entreprise,AERO ENTERPRISE,France,
,AOO,"As, Opened Joint Stock Company",COMPANY AS,Ukraine,
,AOP,Aeropiloto,AEROPILOTO,Portugal,
,AOR,Afro International Ent. Limited,INTER-AFRO,Nigeria,
,AOS,"Servicios Aéreos Del Sol, S.A. de C.V.",AEROSOL,Mexico,
OE,AOT,Asia Overnight Express,ASIA OVERNIGHT,Philippines,
,AOU,Air Tractor,AIR TRACTOR,Croatia,
,AOV,Aero Vision,AEROVISION,France,
,AOX,Aerotaxi Del Valle,AEROVALLE,Colombia,
,APA,Air Park Aviation Ltd.,CAN-AM,Canada,
,APC,"Airpac Airlines, Inc.",AIRPAC,United States,
1Z,APD,Sabre Pacific,,Australia,
,APE,Parcel Express,AIR PARCEL,United States,
,APF,Amapola Flyg AB,AMAPOLA,Sweden,
,APG,Air People International,AIR PEOPLE,Thailand,
,APH,"Alpha Aviation, Inc.",AIRFLIGHT,United States,
,API,"ASA Pesada, Lda.",ASA PESADA,Angola,
,APJ,Peach Aviation,AIR PEACH,Japan,
,APL,"Appalachian Flying Service, Inc.",APPALACHIAN,United States,
,APL,Corporativo Aereo Principal,AEREO PRINCIPAL,Mexico,
,APM,"Airpac, Inc.",ALASKA PACIFIC,United States,
,APN,Alpine Airlines,AIR ALPES,France,
,APO,Aeropro,AEROPRO,Canada,defunct
,APP,AlpAvia d.o.o.,ALPAVIA,Slovenia,
,APQ,Aspen Aviation,ASPEN BASE,United States,
,APR,Aerolíneas Primordiales,AEROPERLAS,Mexico,
,APT,"LAP Colombia - Líneas Aéreas Petroleras, S.A.",LAP,Colombia,
,APU,"Aeropuma, S.A.",AEROPUMA,El Salvador,
,APV,Air Plan International,AIR PLAN,Democratic Republic of the Congo,
JW,APW,Arrow Air,BIG A,United States,defunct
